组合名称,组合类型,资产类别,标的代码,标的名称,持仓数量,当前价格,市值(万元),权重(%),成本价,浮动盈亏(万元),买入日期,目标权重(%),止损价,止盈价,风险等级,评级,行业分类
稳健增长组合,股票型,股票,600519,贵州茅台,1000,1692.50,169.25,15.0,1600.00,9.25,2023-06-15,15.0,1500.00,1900.00,中,买入,消费
稳健增长组合,股票型,股票,601398,工商银行,350000,4.88,170.80,15.0,4.75,4.55,2023-08-20,15.0,4.50,5.50,低,持有,金融
稳健增长组合,股票型,债券,019547,23国债09,1500,102.50,153.75,13.5,101.20,1.95,2023-09-10,12.0,98.00,105.00,低,持有,债券
稳健增长组合,股票型,基金,110022,易方达消费,80000,3.85,30.80,2.7,3.65,1.60,2023-07-05,3.0,3.20,4.50,中,持有,基金
稳健增长组合,股票型,现金,000001,现金,115.40,1.00,115.40,10.2,1.00,0.00,2024-02-07,10.0,0.00,0.00,极低,持有,现金
科技创新组合,成长型,股票,300750,宁德时代,5000,162.50,81.25,20.0,155.00,3.75,2023-10-12,18.0,140.00,200.00,高,买入,新能源
科技创新组合,成长型,股票,002594,比亚迪,3000,189.50,56.85,14.0,175.00,4.35,2023-11-08,15.0,160.00,250.00,高,增持,新能源汽车
科技创新组合,成长型,股票,300760,迈瑞医疗,1500,285.50,42.83,10.5,270.00,2.33,2023-09-25,12.0,250.00,350.00,中高,持有,医疗器械
科技创新组合,成长型,股票,601012,隆基绿能,15000,22.85,34.28,8.5,28.00,-7.72,2023-08-15,10.0,20.00,35.00,中高,减持,光伏
科技创新组合,成长型,ETF,512480,半导体ETF,40000,0.95,3.80,0.9,1.05,-0.40,2023-12-01,2.0,0.80,1.30,高,持有,ETF
科技创新组合,成长型,现金,000001,现金,241.99,1.00,241.99,59.6,1.00,0.00,2024-02-07,45.0,0.00,0.00,极低,持有,现金
蓝筹价值组合,价值型,股票,600036,招商银行,20000,33.20,66.40,15.0,31.50,3.40,2023-07-18,15.0,28.00,40.00,中,买入,银行
蓝筹价值组合,价值型,股票,601318,中国平安,12000,41.85,50.22,11.5,39.00,3.42,2023-08-05,12.0,35.00,50.00,中,增持,保险
蓝筹价值组合,价值型,股票,600276,恒瑞医药,8000,46.50,37.20,8.5,42.00,3.60,2023-09-20,10.0,38.00,60.00,中,持有,医药
蓝筹价值组合,价值型,股票,002415,海康威视,8000,33.45,26.76,6.0,30.50,2.36,2023-10-25,8.0,27.00,42.00,中,持有,安防
蓝筹价值组合,价值型,REITs,508000,张江REIT,50000,3.65,18.25,4.2,3.45,1.00,2023-11-15,5.0,3.00,4.50,低,持有,REITs
蓝筹价值组合,价值型,黄金,518880,黄金ETF,10000,4.75,4.75,1.1,4.50,0.25,2023-12-10,2.0,4.20,5.50,中,持有,商品
蓝筹价值组合,价值型,现金,000001,现金,226.02,1.00,226.02,51.1,1.00,0.00,2024-02-07,50.0,0.00,0.00,极低,持有,现金
债券稳健组合,固收型,国债,019547,23国债09,3000,102.50,307.50,25.0,101.50,3.00,2023-06-20,25.0,98.00,105.00,低,持有,债券
债券稳健组合,固收型,金融债,220215,国开债15,2000,102.85,205.70,17.0,102.20,1.30,2023-07-15,20.0,100.00,106.00,低,持有,债券
债券稳健组合,固收型,企业债,149875,22中化01,1500,101.25,151.88,12.5,100.80,0.68,2023-08-10,15.0,98.00,104.00,低,持有,债券
债券稳健组合,固收型,可转债,113052,兴业转债,500,108.50,5.43,0.4,106.00,0.13,2023-09-05,1.0,100.00,115.00,中,持有,可转债
债券稳健组合,固收型,货币基金,000198,余额宝,500.00,1.00,500.00,40.7,1.00,0.00,2024-02-07,40.0,0.00,0.00,极低,持有,现金
指数基金组合,被动型,ETF,510300,沪深300ETF,50000,3.85,192.50,35.0,3.65,10.00,2023-07-01,30.0,3.30,4.50,中,持有,ETF
指数基金组合,被动型,ETF,510500,中证500ETF,40000,6.25,250.00,45.0,5.95,12.00,2023-08-01,35.0,5.50,7.50,中高,增持,ETF
指数基金组合,被动型,ETF,159915,创业板ETF,30000,2.15,64.50,11.5,2.05,3.00,2023-09-15,15.0,1.75,2.80,高,持有,ETF
指数基金组合,被动型,ETF,512170,医疗ETF,20000,0.45,9.00,1.6,0.52,-1.40,2023-10-20,5.0,0.35,0.70,高,持有,ETF
指数基金组合,被动型,现金,000001,现金,84.00,1.00,84.00,15.2,1.00,0.00,2024-02-07,15.0,0.00,0.00,极低,持有,现金
